Player Number, Player Name, Games Played, Points Played, Serve Attempts, Serve Rating, Aces, Serve Errors, Point Scoring %, Serve %, Serve Error %, Ace %, Pass Attempts, 3-pass, Total Pass Errors, Got Aced, Pass Rating, 3-pass Percent, Total Pass Error %, First Ball Side Out %, 
4, Andreas Christensen, 3, 28, 10, 2.10, 1, 0, 30.0%, 100.0%, 0.0%, 10.0%, 0, 0, 0, 0, -, -, -, -, 
5, Bosse, 3, 34, 0, -, 0, 0, -, -, -, -, 22, 4, 1, 1, 1.80, 18.2%, 4.5%, 38.1%, 
7, Bo, 2, 4, 2, 1.00, 0, 0, 0.0%, 100.0%, 0.0%, 0.0%, 0, 0, 0, 0, -, -, -, -, 
11, Nicola, 3, 57, 11, 1.91, 0, 1, 36.4%, 90.9%, 9.1%, 0.0%, 19, 4, 1, 1, 2.00, 21.1%, 5.3%, 50.0%, 
13, Gustav, 3, 34, 12, 1.25, 1, 2, 41.7%, 83.3%, 16.7%, 8.3%, 0, 0, 0, 0, -, -, -, -, 
15, Martin, 3, 52, 8, 1.00, 0, 4, 25.0%, 50.0%, 50.0%, 0.0%, 1, 0, 0, 0, 2.00, 0.0%, 0.0%, 0.0%, 
16, Alex, 3, 163, 12, 1.83, 1, 1, 16.7%, 91.7%, 8.3%, 8.3%, 0, 0, 0, 0, -, -, -, -, 
17, Hjorth, 3, 69, 13, 2.31, 2, 2, 30.8%, 84.6%, 15.4%, 15.4%, 21, 12, 0, 0, 2.43, 57.1%, 0.0%, 42.9%, 
undefined, (team), 3, 0, 0, -, 0, 0, -, -, -, -, 2, 0, 2, 2, 0.00, 0.0%, 100.0%, -, 
Total, , , , 68, 1.75, 5, 10, 29.4%, 85.3%, 14.7%, 7.4%, 65, 20, 4, 4, 2.01, 30.8%, 6.2%, 42.6%, 

Player Number, Player Name, Games Played, Points Played, FB Pass Attempts, 3-FB Pass, Total FBPass Errors, FB Pass Rating, 3-FB Pass Percent, Total FBPass Error %, Earned/Game, Errors/Game, Faults/Game, Total/Game, 
4, Andreas Christensen, 3, 28, 0, 0, 0, -, -, -, 3.0, 0.3, 0.0, 2.7, 
5, Bosse, 3, 34, 0, 0, 0, -, -, -, 0.0, 0.3, 0.0, -0.3, 
7, Bo, 2, 4, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 
11, Nicola, 3, 57, 0, 0, 0, -, -, -, 1.3, 2.0, 0.0, -0.7, 
13, Gustav, 3, 34, 0, 0, 0, -, -, -, 2.0, 1.0, 0.0, 1.0, 
15, Martin, 3, 52, 0, 0, 0, -, -, -, 4.3, 3.3, 0.0, 1.0, 
16, Alex, 3, 163, 0, 0, 0, -, -, -, 0.7, 2.0, 0.0, -1.3, 
17, Hjorth, 3, 69, 0, 0, 0, -, -, -, 4.3, 1.0, 0.0, 3.7, 
undefined, (team), 3, 0, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 
Total, , , , 0, 0, 0, -, -, -, 15.7, 10.0, 0.0, 5.7, 

Player Number, Player Name, Games Played, Points Played, Hitting Efficiency, Kill %, Attack Error %, Attack Attempts, Attack Errors, Kills, In Play, Errors, 
4, Andreas Christensen, 3, 28, 0.714, 85.7%, 14.3%, 7, 1, 6, 0, 0, 
5, Bosse, 3, 34, -, -, -, 0, 0, 0, 0, 0, 
7, Bo, 2, 4, -, -, -, 0, 0, 0, 0, 0, 
11, Nicola, 3, 57, 0.000, 23.5%, 23.5%, 17, 4, 4, 0, 0, 
13, Gustav, 3, 34, 0.273, 36.4%, 9.1%, 11, 1, 4, 0, 0, 
15, Martin, 3, 52, 0.229, 37.1%, 14.3%, 35, 5, 13, 0, 0, 
16, Alex, 3, 163, 0.000, 33.3%, 33.3%, 3, 1, 1, 0, 0, 
17, Hjorth, 3, 69, 0.333, 36.7%, 3.3%, 30, 1, 11, 0, 0, 
undefined, (team), 3, 0, -, -, -, 0, 0, 0, 0, 0, 
Total, , , , 0.252, 37.9%, 12.6%, 103, 13, 39, 0, 0, 

Player Number, Player Name, Games Played, Points Played, Digs, Dig Errors, Dig Error %, Dig %, Kill to Dig %, Attack Attempt to Dig %, Block Errors, Blocks Still in Play, Blocks, Block %, Block Error %, Assists, Setting Errors, Attempt (From Setter), 
4, Andreas Christensen, 3, 28, 2, 0, 0.0%, 100.0%, 0.0%, 100.0%, 0, 0, 2, 100.0%, 0.0%, 0, 0, 0, 
5, Bosse, 3, 34, 10, 0, 0.0%, 100.0%, 30.0%, 80.0%, 0, 0, 0, -, -, 3, 0, 0, 
7, Bo, 2, 4, 0, 0, -, -, -, -, 0, 0, 0, -, -, 0, 0, 0, 
11, Nicola, 3, 57, 6, 0, 0.0%, 100.0%, 33.3%, 83.3%, 0, 0, 0, -, -, 1, 0, 7, 
13, Gustav, 3, 34, 2, 0, 0.0%, 100.0%, 50.0%, 50.0%, 0, 0, 1, 100.0%, 0.0%, 0, 0, 6, 
15, Martin, 3, 52, 4, 0, 0.0%, 100.0%, 50.0%, 100.0%, 0, 1, 0, 0.0%, 0.0%, 0, 1, 9, 
16, Alex, 3, 163, 6, 0, 0.0%, 100.0%, 66.7%, 100.0%, 0, 0, 0, -, -, 31, 4, 0, 
17, Hjorth, 3, 69, 6, 0, 0.0%, 100.0%, 16.7%, 83.3%, 0, 2, 1, 33.3%, 0.0%, 2, 0, 14, 
undefined, (team), 3, 0, 0, 0, -, -, -, -, 0, 0, 0, -, -, 0, 0, 0, 
Total, , , , 36, 0, 0.0%, 100.0%, 36.1%, 86.1%, 0, 3, 3, 57.1%, 0.0%, 37, 5, 36, 

