kampnr,positive_percentage,1-pass,2-pass,3-pass,Pass_Rating,season,hjemme,ude,spillested,played,resultat,result_for_frb,date,match_name,opponent
141063,6.0,20,32,28,1.5733333333333333,2024/2025,Gentofte Volley.2,Frederiksberg Volley,Kildeskovshal 1 1,yes,3 - 2,lost,2024-09-29,gv2-frb,Gentofte Volley.2
141067,2.6363636363636362,11,21,8,1.4816666666666667,2024/2025,Frederiksberg Volley,KV 61,Bülowsvejhallen 1,yes,3 - 0,won,2024-10-06,frb-kv ,KV 61
141084,3.0,18,17,13,1.365,2024/2025,Frederiksberg Volley,Farum-Holte,Bülowsvejhallen 1,yes,0 - 3,lost,2025-02-22,frb-fah,Farum-Holte
141089,2.9,11,18,11,1.908,2024/2025,Frederiksberg Volley,Team Køge,Bülowsvejhallen 1,yes,3 - 0,won,2024-11-02,frb-tkv,Team Køge
141099,5.090909090909091,24,34,22,1.6949999999999998,2024/2025,Frederiksberg Volley,Hvidovre VK.2,Bülowsvejhallen 1,yes,2 - 3,lost,2024-11-23,frb-hv2,Hvidovre VK.2
141108,3.75,20,24,21,1.8533333333333333,2024/2025,Frederiksberg Volley,Gentofte Volley.2,Bülowsvejhallen 1,yes,3 - 1,won,2024-12-08,frb-gv2,Gentofte Volley.2
141119,5.454545454545454,20,32,28,1.7675,2024/2025,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 2,lost,2025-01-12,avk-frb,Amager Volley.2
141123,5.4,14,36,18,2.018333333333333,2024/2025,Frederiksberg Volley,VLI,Bülowsvejhallen 1,yes,3 - 2,won,2025-01-18,frb-vli,VLI
141134,9.142857142857142,25,37,27,1.9579999999999997,2024/2025,Team Køge,Frederiksberg Volley,Spar Nord Arena 1,yes,2 - 3,won,2025-03-14,tkv-frb,Team Køge
141139,4.4,13,26,18,1.94,2024/2025,Frederiksberg Volley,DTU Volley,Bülowsvejhallen 1,yes,3 - 1,won,2025-01-25,frb-dtu,DTU Volley
141144,4.625,14,19,18,1.6975,2024/2025,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,0 - 3,won,2025-03-29,hv2-frb,Hvidovre VK.2
141149,4.888888888888889,20,24,20,1.65,2024/2025,Frederiksberg Volley,Grøndal EV,Bülowsvejhallen 1,yes,3 - 1,won,2025-03-23,frb-grø,Grøndal EV
144591,6.25,10,30,20,2.0575,2025/2026,Amager Volley.2,Frederiksberg Volley,Sundbyhal 1 1,yes,3 - 0,lost,2025-09-27,avk-frb,Amager Volley.2
144595,8.375,19,41,26,1.8866666666666667,2025/2026,Hvidovre VK.2,Frederiksberg Volley,Frihedens Idrætscenter 1,yes,2 - 3,won,2025-10-04,hv2-frb,Hvidovre VK.2
